CompanySymbol,Date,Close,Volume,Open,High,Low
AAPL,02/07/2025,$227.63,39707220,$232.60,$234.00,$227.26
AAPL,02/06/2025,$233.22,29925350,$231.285,$233.80,$230.425
AAPL,02/05/2025,$232.47,39664990,$228.53,$232.67,$228.27
AAPL,02/04/2025,$232.80,45067300,$227.25,$233.13,$226.65
AAPL,02/03/2025,$228.01,73063300,$229.99,$231.83,$225.70
AAPL,01/31/2025,$236.00,101075100,$247.19,$247.19,$233.44
AAPL,01/30/2025,$237.59,55658280,$238.665,$240.79,$237.21
AAPL,01/29/2025,$239.36,45486100,$234.12,$239.855,$234.01
AAPL,01/28/2025,$238.26,75707570,$230.85,$240.19,$230.81
AAPL,01/27/2025,$229.86,94863420,$224.02,$232.15,$223.98
AAPL,01/24/2025,$222.78,54697910,$224.78,$225.63,$221.41
AAPL,01/23/2025,$223.66,60234760,$224.74,$227.03,$222.30
AAPL,01/22/2025,$223.83,64126500,$219.79,$224.12,$219.79
AAPL,01/21/2025,$222.64,98070430,$224.00,$224.42,$219.38
AAPL,01/17/2025,$229.98,68488300,$232.115,$232.29,$228.48
AAPL,01/16/2025,$228.26,71759050,$237.35,$238.01,$228.03
AAPL,01/15/2025,$237.87,39831970,$234.635,$238.96,$234.43
AAPL,01/14/2025,$233.28,39435290,$234.75,$236.12,$232.472
AAPL,01/13/2025,$234.40,49630730,$233.53,$234.67,$229.72
AAPL,01/10/2025,$236.85,61710860,$240.01,$240.16,$233.00
AAPL,01/08/2025,$242.70,37628940,$241.92,$243.7123,$240.05
AAPL,01/07/2025,$242.21,40855960,$242.98,$245.55,$241.35
AAPL,01/06/2025,$245.00,45045570,$244.31,$247.33,$243.20
AAPL,01/03/2025,$243.36,40244110,$243.36,$244.18,$241.89
AAPL,01/02/2025,$243.85,55740730,$248.93,$249.10,$241.8201
AAPL,12/31/2024,$250.42,39480720,$252.44,$253.28,$249.43
AAPL,12/30/2024,$252.20,35557540,$252.23,$253.50,$250.75
AAPL,12/27/2024,$255.59,42355320,$257.83,$258.70,$253.06
AAPL,12/26/2024,$259.02,27262980,$258.19,$260.10,$257.63
AAPL,12/24/2024,$258.20,23234710,$255.49,$258.21,$255.29
AAPL,12/23/2024,$255.27,40858770,$254.77,$255.65,$253.45
AAPL,12/20/2024,$254.49,147495300,$248.04,$255.00,$245.69
AAPL,12/19/2024,$249.79,60882260,$247.50,$252.00,$247.0949
AAPL,12/18/2024,$248.05,56774100,$252.16,$254.28,$247.74
AAPL,12/17/2024,$253.48,51356360,$250.08,$253.83,$249.78
AAPL,12/16/2024,$251.04,51694750,$247.99,$251.38,$247.65
AAPL,12/13/2024,$248.13,33155290,$247.815,$249.2902,$246.24
