CompanySymbol,Date,Close,Volume,Open,High,Low
NFLX,02/07/2025,$1013.93,3212853,$1017.00,$1027.76,$1005.6701
NFLX,02/06/2025,$1015.68,3134293,$1007.87,$1016.35,$1002.61
NFLX,02/05/2025,$1011.11,3997733,$987.73,$1011.825,$986.68
NFLX,02/04/2025,$994.87,6000137,$980.47,$1008.00,$978.51
NFLX,02/03/2025,$978.94,3724197,$973.00,$987.6891,$964.375
NFLX,01/31/2025,$976.76,3618718,$974.00,$990.2892,$974.00
NFLX,01/30/2025,$973.24,3867825,$986.75,$994.59,$970.0101
NFLX,01/29/2025,$978.15,2930728,$980.00,$987.64,$968.2345
NFLX,01/28/2025,$971.83,3433972,$966.71,$977.934,$957.30
NFLX,01/27/2025,$971.89,4634204,$971.10,$982.27,$960.26
NFLX,01/24/2025,$977.59,4550397,$984.41,$986.28,$967.68
NFLX,01/23/2025,$984.86,7752137,$957.81,$985.00,$953.90
NFLX,01/22/2025,$953.99,14273210,$998.025,$999.00,$950.76
NFLX,01/21/2025,$869.68,9851351,$863.53,$916.40,$854.745
NFLX,01/17/2025,$858.10,3617565,$859.79,$865.00,$852.13
NFLX,01/16/2025,$842.37,4028537,$860.96,$868.98,$842.02
NFLX,01/15/2025,$848.26,3181383,$836.44,$850.84,$830.41
NFLX,01/14/2025,$828.40,3037650,$843.20,$844.8925,$823.519
NFLX,01/13/2025,$840.29,3024517,$831.525,$847.07,$829.14
NFLX,01/10/2025,$837.69,4803312,$866.40,$866.41,$834.40
NFLX,01/08/2025,$875.00,2347949,$880.00,$886.215,$873.00
NFLX,01/07/2025,$879.19,2649823,$879.38,$888.00,$869.11
NFLX,01/06/2025,$881.79,3457656,$888.76,$892.83,$871.69
NFLX,01/03/2025,$881.05,2970019,$893.13,$898.83,$879.8901
NFLX,01/02/2025,$886.73,2315685,$895.50,$898.58,$877.00
NFLX,12/31/2024,$891.32,1875897,$901.80,$902.68,$889.47
NFLX,12/30/2024,$900.43,2202970,$894.51,$908.2299,$889.71
NFLX,12/27/2024,$907.55,3226158,$916.01,$918.13,$894.50
NFLX,12/26/2024,$924.14,2342418,$928.40,$930.49,$915.30
NFLX,12/24/2024,$932.12,2320293,$915.00,$935.85,$911.70
NFLX,12/23/2024,$911.45,2339375,$913.42,$915.00,$899.1001
NFLX,12/20/2024,$909.05,4530519,$893.21,$919.9238,$890.4872
NFLX,12/19/2024,$902.04,2815512,$908.18,$912.6215,$899.00
NFLX,12/18/2024,$889.55,2938194,$919.13,$922.44,$886.56
NFLX,12/17/2024,$919.13,2459456,$921.54,$928.45,$916.42
NFLX,12/16/2024,$921.08,2674892,$923.94,$928.94,$919.50
NFLX,12/13/2024,$918.87,2485829,$916.81,$925.55,$909.61
NFLX,12/12/2024,$925.55,2486197,$933.35,$934.0886,$922.60
NFLX,12/11/2024,$936.56,3501691,$924.71,$941.75,$923.08
NFLX,12/10/2024,$913.35,2388575,$913.76,$922.88,$909.58
NFLX,12/09/2024,$913.69,3350082,$928.00,$930.2999,$902.59
NFLX,12/06/2024,$934.74,2955383,$915.23,$935.27,$912.71
NFLX,12/05/2024,$917.87,2835307,$917.85,$927.00,$911.1075
NFLX,12/04/2024,$911.06,2689629,$898.05,$915.9699,$898.05
NFLX,12/03/2024,$902.17,2401634,$894.36,$902.69,$888.025
NFLX,12/02/2024,$897.74,2388966,$887.51,$902.34,$884.12
NFLX,11/29/2024,$886.81,2027237,$882.17,$892.41,$876.68
NFLX,11/27/2024,$877.34,2578222,$872.06,$880.95,$858.91
NFLX,11/26/2024,$872.60,3138259,$867.49,$886.36,$867.2501
NFLX,11/25/2024,$865.59,6014203,$902.05,$902.05,$864.22
NFLX,11/22/2024,$897.79,3214020,$896.00,$906.00,$893.00
NFLX,11/21/2024,$897.48,4511263,$883.93,$908.00,$877.24
NFLX,11/20/2024,$883.85,4093843,$879.98,$890.60,$868.40
