CompanySymbol,Date,Close/Last,Volume,Open,High,Low
AMD,02/07/2025,$107.56,46082500,$109.13,$109.92,$106.79
AMD,02/06/2025,$110.16,50426590,$110.93,$112.56,$109.02
AMD,02/05/2025,$112.01,110609300,$107.61,$112.09,$106.50
AMD,02/04/2025,$119.50,69412090,$115.45,$119.85,$114.79
AMD,02/03/2025,$114.27,34586050,$113.875,$115.16,$112.98
AMD,01/31/2025,$115.95,40533570,$119.14,$119.565,$115.33
AMD,01/30/2025,$118.86,29788380,$118.53,$120.44,$117.09
AMD,01/29/2025,$117.35,40199050,$115.77,$118.52,$114.96
AMD,01/28/2025,$114.17,40554760,$115.175,$116.15,$112.95
AMD,01/27/2025,$115.01,61067890,$117.80,$118.08,$112.80
AMD,01/24/2025,$122.84,31570300,$124.55,$125.25,$122.23
AMD,01/23/2025,$123.04,24921110,$121.425,$123.71,$120.63
AMD,01/22/2025,$123.75,35023840,$123.08,$125.65,$121.912
AMD,01/21/2025,$122.28,31578830,$122.39,$123.75,$121.1201
AMD,01/17/2025,$121.46,35765920,$120.78,$122.74,$120.55
AMD,01/16/2025,$118.44,29414130,$120.24,$121.09,$118.25
AMD,01/15/2025,$119.96,38185820,$117.55,$120.42,$117.46
AMD,01/14/2025,$116.09,37005280,$118.00,$118.66,$114.50
AMD,01/13/2025,$117.32,39128900,$115.28,$117.48,$114.41
AMD,01/10/2025,$116.04,59415610,$118.18,$118.71,$114.4501
AMD,01/08/2025,$121.84,46723140,$124.51,$125.30,$120.1201
AMD,01/07/2025,$127.33,39220410,$130.51,$131.71,$126.8537
AMD,01/06/2025,$129.55,48020190,$129.07,$130.73,$127.36
AMD,01/03/2025,$125.37,36785300,$121.65,$125.56,$121.42
AMD,01/02/2025,$120.63,34256180,$122.29,$123.14,$119.44
AMD,12/31/2024,$120.79,30203430,$123.10,$123.55,$120.138
AMD,12/30/2024,$122.44,30501640,$123.562,$124.10,$122.35
AMD,12/27/2024,$125.19,32924010,$124.37,$126.18,$122.26
AMD,12/26/2024,$125.06,25139140,$125.52,$127.2999,$125.05
AMD,12/24/2024,$126.29,24829560,$127.51,$127.51,$124.66
AMD,12/23/2024,$124.60,47777900,$120.71,$126.3387,$120.47
AMD,12/20/2024,$119.21,53591210,$118.00,$121.86,$117.90
AMD,12/19/2024,$118.88,46160670,$122.16,$123.38,$118.45
AMD,12/18/2024,$121.41,49724440,$125.43,$127.75,$120.43
AMD,12/17/2024,$125.02,43314940,$124.45,$127.08,$123.15
AMD,12/16/2024,$126.69,42090280,$126.01,$127.76,$123.12
AMD,12/13/2024,$126.91,67544740,$131.30,$131.30,$124.77
AMD,12/12/2024,$130.60,34267090,$130.00,$132.32,$129.07
AMD,12/11/2024,$130.15,45588140,$128.52,$131.21,$126.2201
AMD,12/10/2024,$127.74,38907200,$131.56,$131.56,$127.07
AMD,12/09/2024,$130.87,57055560,$135.71,$135.77,$130.00
AMD,12/06/2024,$138.59,33576840,$141.48,$142.7852,$137.40
AMD,12/05/2024,$141.36,29576930,$143.68,$143.95,$140.38
AMD,12/04/2024,$143.99,25942650,$142.96,$144.12,$141.18
AMD,12/03/2024,$141.98,22665350,$142.58,$143.4495,$141.0801
AMD,12/02/2024,$142.06,33102440,$137.915,$142.82,$137.80
AMD,11/29/2024,$137.175,16085710,$136.24,$138.5876,$135.78
AMD,11/27/2024,$136.24,30175290,$137.20,$137.94,$132.96
AMD,11/26/2024,$137.72,32092380,$142.55,$142.80,$136.62
AMD,11/25/2024,$141.13,30923110,$140.49,$142.35,$139.05
AMD,11/22/2024,$138.35,21784730,$137.35,$139.13,$137.04
AMD,11/21/2024,$137.49,29311440,$138.87,$140.2799,$134.93
AMD,11/20/2024,$137.60,28843070,$138.96,$140.77,$135.48
AMD,11/19/2024,$139.39,23131350,$137.41,$139.75,$137.14
AMD,11/18/2024,$138.93,38782430,$138.185,$140.90,$137.21
AMD,11/15/2024,$134.90,44217530,$136.575,$137.35,$133.65
AMD,11/14/2024,$138.84,31681410,$140.34,$141.40,$138.56
