CompanySymbol,Date,Close,Volume,Open,High,Low
DIS,02/07/2025,$110.86,8669320,$111.61,$112.55,$110.8101
DIS,02/06/2025,$112.09,12470790,$111.88,$112.68,$109.15
DIS,02/05/2025,$110.54,23309980,$115.70,$118.59,$110.23
DIS,02/04/2025,$113.30,13521150,$113.80,$114.655,$112.51
DIS,02/03/2025,$114.00,8870666,$111.35,$114.60,$110.86
DIS,01/31/2025,$113.06,7797690,$113.30,$114.01,$112.76
DIS,01/30/2025,$113.43,6236187,$114.085,$115.18,$113.12
DIS,01/29/2025,$113.19,7607068,$113.495,$114.3844,$112.76
DIS,01/28/2025,$112.14,6516763,$112.845,$112.96,$111.56
DIS,01/27/2025,$113.34,10176940,$111.68,$114.08,$111.46
DIS,01/24/2025,$112.16,8304478,$111.155,$113.39,$110.63
DIS,01/23/2025,$111.04,7608265,$108.50,$111.07,$108.49
DIS,01/22/2025,$108.81,8781705,$109.55,$109.55,$108.23
DIS,01/21/2025,$108.70,8643694,$107.10,$109.45,$106.80
DIS,01/17/2025,$107.02,7144263,$106.83,$107.74,$106.54
DIS,01/16/2025,$106.46,7872767,$108.29,$108.60,$106.16
DIS,01/15/2025,$108.18,6296861,$109.17,$109.60,$107.99
DIS,01/14/2025,$108.12,5501600,$108.68,$108.96,$107.61
DIS,01/13/2025,$108.08,6690232,$107.93,$108.61,$106.72
DIS,01/10/2025,$108.65,8835518,$110.00,$110.54,$107.62
DIS,01/08/2025,$109.76,7805312,$111.00,$111.11,$108.64
DIS,01/07/2025,$111.39,7878807,$112.15,$113.74,$111.29
DIS,01/06/2025,$111.05,6274419,$111.47,$112.8537,$110.87
DIS,01/03/2025,$111.16,5394318,$111.37,$111.535,$110.18
DIS,01/02/2025,$110.82,5688086,$111.70,$112.20,$110.17
DIS,12/31/2024,$111.35,4757538,$110.78,$111.59,$110.67
DIS,12/30/2024,$110.80,5716337,$110.425,$111.54,$109.83
DIS,12/27/2024,$111.55,4523820,$111.82,$112.12,$110.86
DIS,12/26/2024,$112.55,4782814,$112.12,$113.32,$111.86
DIS,12/24/2024,$112.56,2474994,$111.25,$112.74,$111.1924
DIS,12/23/2024,$111.40,6037212,$111.61,$111.85,$110.31
DIS,12/20/2024,$112.03,17955330,$110.61,$112.97,$110.43
DIS,12/19/2024,$111.37,9468516,$111.66,$112.91,$111.25
DIS,12/18/2024,$111.35,12292780,$113.34,$116.1184,$111.24
DIS,12/17/2024,$113.02,12238620,$111.025,$114.04,$110.80
DIS,12/16/2024,$112.11,10528530,$113.00,$113.067,$111.73
DIS,12/13/2024,$113.34,6864475,$114.322,$114.96,$113.30
DIS,12/12/2024,$114.90,5285116,$114.70,$115.01,$114.16
DIS,12/11/2024,$114.61,6426831,$114.635,$115.05,$113.98
DIS,12/10/2024,$114.73,7526428,$114.65,$114.95,$113.72
DIS,12/09/2024,$114.61,8666121,$116.385,$117.18,$113.91
DIS,12/06/2024,$116.73,6677906,$116.55,$117.26,$116.22
DIS,12/05/2024,$116.50,9823556,$116.55,$117.27,$116.06
DIS,12/04/2024,$116.99,7996244,$115.97,$117.29,$115.84
DIS,12/03/2024,$116.45,9193973,$117.00,$117.23,$115.45
DIS,12/02/2024,$117.16,8390465,$117.78,$118.63,$116.55
DIS,11/29/2024,$117.47,5095150,$117.255,$117.74,$116.73
DIS,11/27/2024,$117.60,8142388,$115.445,$118.1998,$115.445
DIS,11/26/2024,$115.45,6808149,$116.00,$116.42,$115.44
DIS,11/25/2024,$116.00,10397810,$115.68,$116.5798,$114.932
DIS,11/22/2024,$115.65,10098040,$113.85,$116.34,$113.60
DIS,11/21/2024,$114.72,10260980,$114.15,$116.25,$113.8343
DIS,11/20/2024,$114.26,9319270,$112.26,$114.37,$111.47
DIS,11/19/2024,$112.42,12166780,$112.05,$112.50,$110.82
DIS,11/18/2024,$113.54,14236560,$113.33,$115.435,$112.89
DIS,11/15/2024,$115.08,32048030,$110.25,$115.19,$110.25
DIS,11/14/2024,$109.12,47436050,$110.33,$114.81,$108.40
DIS,11/13/2024,$102.72,17701280,$100.785,$103.20,$100.35
DIS,11/12/2024,$100.99,9366216,$100.55,$101.29,$99.50
DIS,11/11/2024,$100.86,9137854,$99.00,$100.90,$99.00
DIS,11/08/2024,$99.02,7982113,$98.73,$99.26,$97.61
DIS,11/07/2024,$98.93,7805138,$98.78,$99.52,$98.13
DIS,11/06/2024,$98.89,11325090,$98.21,$99.55,$98.21
DIS,11/05/2024,$96.63,6561725,$95.60,$96.67,$95.25
DIS,11/04/2024,$95.79,6088036,$95.825,$96.0188,$95.03
DIS,11/01/2024,$95.81,7944869,$95.70,$96.39,$94.83
DIS,10/31/2024,$96.20,8147709,$95.27,$96.63,$95.00
DIS,10/30/2024,$95.08,7718201,$95.70,$96.71,$94.94
DIS,10/29/2024,$96.13,6834439,$96.26,$96.62,$95.675
DIS,10/28/2024,$96.20,8146379,$95.22,$96.685,$95.21
DIS,10/25/2024,$95.03,6638148,$95.81,$96.8536,$95.01
DIS,10/24/2024,$95.40,5015263,$96.60,$96.80,$95.2515
DIS,10/23/2024,$96.24,5388501,$96.93,$97.1378,$95.985
DIS,10/22/2024,$96.74,5344307,$96.20,$97.255,$96.20
DIS,10/21/2024,$96.62,8189949,$97.20,$97.45,$95.95
DIS,10/18/2024,$97.28,8609692,$97.01,$97.54,$96.05
DIS,10/17/2024,$96.54,9542501,$96.93,$97.33,$95.61
DIS,10/16/2024,$96.75,9936286,$93.73,$96.79,$93.63
DIS,10/15/2024,$94.22,6535756,$95.25,$95.65,$93.68
DIS,10/14/2024,$94.97,6261964,$94.18,$95.19,$93.80
DIS,10/11/2024,$94.13,8089133,$92.85,$94.61,$92.80
DIS,10/10/2024,$92.99,6698039,$93.72,$93.88,$92.69
DIS,10/09/2024,$93.60,8654470,$91.86,$94.01,$91.46
DIS,10/08/2024,$92.51,10209060,$92.515,$93.74,$91.69
DIS,10/07/2024,$92.39,11043610,$95.09,$95.14,$91.76
DIS,10/04/2024,$95.15,6317333,$94.30,$95.34,$93.89
DIS,10/03/2024,$93.63,6180349,$93.61,$94.09,$93.1306
DIS,10/02/2024,$94.15,6144176,$93.59,$94.58,$93.59
DIS,10/01/2024,$94.05,10099230,$95.19,$95.85,$93.3201
DIS,09/30/2024,$96.19,7988690,$96.85,$97.57,$95.44
DIS,09/27/2024,$96.01,10155420,$95.485,$96.90,$95.28
DIS,09/26/2024,$95.20,10061550,$94.46,$95.785,$94.175
DIS,09/25/2024,$93.92,8408242,$93.64,$94.44,$93.352
DIS,09/24/2024,$93.69,7860272,$93.34,$93.79,$92.46
DIS,09/23/2024,$92.97,7338661,$93.695,$93.70,$92.16
DIS,09/20/2024,$93.75,19251540,$93.20,$94.01,$92.82
DIS,09/19/2024,$93.45,10912450,$94.82,$95.29,$93.32
DIS,09/18/2024,$93.58,10289770,$93.52,$94.07,$92.69
DIS,09/17/2024,$92.86,8193075,$92.37,$93.25,$92.17
DIS,09/16/2024,$91.85,9028572,$91.10,$92.37,$90.95
DIS,09/13/2024,$90.55,7084239,$89.45,$90.72,$89.39
DIS,09/12/2024,$89.30,7181709,$88.22,$89.3289,$88.18
DIS,09/11/2024,$88.32,10779000,$88.05,$88.43,$86.59
DIS,09/10/2024,$88.40,6858313,$88.33,$88.89,$87.98
DIS,09/09/2024,$88.34,8750247,$88.22,$88.885,$87.81
DIS,09/06/2024,$87.94,7791503,$88.45,$89.09,$87.72
DIS,09/05/2024,$88.65,6234114,$89.665,$89.665,$88.34
DIS,09/04/2024,$89.25,6317221,$88.95,$90.0201,$88.82
DIS,09/03/2024,$89.13,8465469,$89.605,$90.4877,$88.535
DIS,08/30/2024,$90.38,8403632,$89.98,$90.45,$89.4001
DIS,08/29/2024,$89.81,6181750,$90.45,$90.70,$89.63
DIS,08/28/2024,$89.49,8569690,$90.33,$90.6247,$88.76
DIS,08/27/2024,$90.90,7237353,$91.43,$91.72,$90.75
DIS,08/26/2024,$91.78,8043757,$90.92,$91.80,$90.92
DIS,08/23/2024,$90.56,7369239,$90.15,$90.75,$89.68
DIS,08/22/2024,$89.92,7613030,$90.99,$91.3757,$89.695
